Project Metrics Summary

Generated: 2026-03-22 17:26:32
Source scan: results/**/metrics_table.csv and results/**/*summary.csv
Single-run result rows: 269
Multi-seed summary rows: 24
Note: Some comparison tables do not contain P95/P99; those cells are marked as -.

1. Key Multi-seed Results On phase4a_shift004_linewidth_l3

| Scenario | Summary | Method | RMSE_mean+-std | MAE_mean+-std | P95_mean+-std | P99_mean+-std | R2_mean+-std | Source |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| phase4a_shift004_linewidth_l3 | g_tailhard_multiseed_summary.csv | Baseline CNN | 0.01367874 +- 0.00059954 | 0.01052692 +- 0.00041190 | 0.02686115 +- 0.00154059 | 0.03929687 +- 0.00304082 | 0.99774859 +- 0.00019654 | results/phase4a_shift004_linewidth_l3/g_tailhard_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | g_tailhard_multiseed_summary.csv | G raw+d1 | 0.01397190 +- 0.00019605 | 0.01081837 +- 0.00019328 | 0.02644357 +- 0.00042433 | 0.03978891 +- 0.00087030 | 0.99765431 +- 0.00006551 | results/phase4a_shift004_linewidth_l3/g_tailhard_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | g_tailhard_multiseed_summary.csv | G tailhard balanced | 0.01407144 +- 0.00053244 | 0.01084090 +- 0.00046922 | 0.02698939 +- 0.00115235 | 0.03922281 +- 0.00218720 | 0.99761841 +- 0.00017924 | results/phase4a_shift004_linewidth_l3/g_tailhard_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | g_tailhard_multiseed_summary.csv | G tailhard best_p95 | 0.01392863 +- 0.00044572 | 0.01072399 +- 0.00036576 | 0.02670787 +- 0.00147688 | 0.03948579 +- 0.00202193 | 0.99766726 +- 0.00015112 | results/phase4a_shift004_linewidth_l3/g_tailhard_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_multiseed_summary.csv | CNN | 0.01360327 +- 0.00025093 | 0.01044752 +- 0.00016145 | 0.02626235 +- 0.00066496 | 0.03922367 +- 0.00212638 | 0.99777603 +- 0.00008217 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_multiseed_summary.csv | CNN+C2FRefineV2 | 0.01347871 +- 0.00023894 | 0.01032759 +- 0.00015039 | 0.02608806 +- 0.00053471 | 0.03869339 +- 0.00179903 | 0.99781664 +- 0.00007777 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_gated_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_multiseed_summary.csv | CNN | 0.01360327 +- 0.00025093 | 0.01044752 +- 0.00016145 | 0.02626235 +- 0.00066496 | 0.03922367 +- 0.00212638 | 0.99777603 +- 0.00008217 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_multiseed_summary.csv | CNN+C2FRefineV2 | 0.01354419 +- 0.00026149 | 0.01038085 +- 0.00019003 | 0.02643309 +- 0.00069409 | 0.03915493 +- 0.00159322 | 0.99779523 +- 0.00008534 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_multiseed_summary.csv | CNN | 0.01367874 +- 0.00053624 | 0.01052693 +- 0.00036841 | 0.02686115 +- 0.00137794 | 0.03929687 +- 0.00271979 | 0.99774859 +- 0.00017580 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_multiseed_summary.csv | CNN+C2FRefineV2_explicit | 0.01356312 +- 0.00055442 | 0.01042801 +- 0.00040040 | 0.02635310 +- 0.00110459 | 0.03873937 +- 0.00296566 | 0.99778621 +- 0.00018066 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_multiseed_summary.csv | CNN | 0.01367874 +- 0.00053624 | 0.01052693 +- 0.00036841 | 0.02686115 +- 0.00137794 | 0.03929687 +- 0.00271979 | 0.99774859 +- 0.00017580 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_multiseed_summary.csv | CNN+C2FRefineV2 | 0.01358364 +- 0.00054917 | 0.01044155 +- 0.00039378 | 0.02643826 +- 0.00101952 | 0.03894201 +- 0.00301158 | 0.99777957 +- 0.00017915 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_nad_v1_G_multiseed_summary.csv | G_CNN_2ch_raw_d1 | 0.01397190 +- 0.00019605 | 0.01081837 +- 0.00019328 | 0.02644357 +- 0.00042433 | 0.03978891 +- 0.00087030 | 0.99765431 +- 0.00006551 | results/phase4a_shift004_linewidth_l3/method_enhance_nad_v1_G_multiseed_summary.csv |
| phase4a_shift004_linewidth_l3 | multiseed_tailaware_summary.csv | Baseline CNN | 0.01367874 +- 0.00059954 | 0.01052692 +- 0.00041190 | 0.02686115 +- 0.00154059 | 0.03929687 +- 0.00304082 | 0.99774859 +- 0.00019654 | results/phase4a_shift004_linewidth_l3/multiseed_tailaware_summary.csv |
| phase4a_shift004_linewidth_l3 | multiseed_tailaware_summary.csv | Tail-aware | 0.01360326 +- 0.00028055 | 0.01044753 +- 0.00018051 | 0.02626235 +- 0.00074345 | 0.03922367 +- 0.00237737 | 0.99777603 +- 0.00009186 | results/phase4a_shift004_linewidth_l3/multiseed_tailaware_summary.csv |
| phase4a_shift004_linewidth_l3 | multiseed_tailaware_summary.csv | Tail-aware+Hard | 0.01355332 +- 0.00063849 | 0.01042631 +- 0.00049102 | 0.02604971 +- 0.00192582 | 0.03857305 +- 0.00255855 | 0.99778917 +- 0.00020988 | results/phase4a_shift004_linewidth_l3/multiseed_tailaware_summary.csv |

2. Full Single-run Result Table

| Scenario | Condition/Run | Method | Seed | RMSE_nm | MAE_nm | P95_nm | P99_nm | R2 | Source |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| phase3b | (root) | CNN | - | 0.00201696 | 0.00140435 | - | - | 0.99995017 | results/phase3b/metrics_table.csv |
| phase3b | (root) | CNN+SE | - | 0.00164652 | 0.00125855 | - | - | 0.99996680 | results/phase3b/metrics_table.csv |
| phase3b | (root) | Cross-correlation | - | 0.00268793 | 0.00238016 | - | - | 0.99991155 | results/phase3b/metrics_table.csv |
| phase3b | (root) | MLP | - | 0.00520052 | 0.00347686 | - | - | 0.99966890 | results/phase3b/metrics_table.csv |
| phase3b | (root) | Parametric fitting | - | 0.00217837 | 0.00172555 | - | - | 0.99994189 | results/phase3b/metrics_table.csv |
| phase4_array_tmp | phase4b_compare | CNN | - | 0.00831970 | 0.00516012 | - | - | 0.99919015 | results/phase4_array_tmp/phase4b_compare/metrics_table.csv |
| phase4_array_tmp | phase4b_compare | CNN+SE | - | 0.00823831 | 0.00492080 | - | - | 0.99920595 | results/phase4_array_tmp/phase4b_compare/metrics_table.csv |
| phase4_array_tmp | phase4b_compare | Cross-correlation | - | 0.26090375 | 0.13715342 | - | - | 0.20356637 | results/phase4_array_tmp/phase4b_compare/metrics_table.csv |
| phase4_array_tmp | phase4b_compare | MLP | - | 0.00965751 | 0.00674152 | - | - | 0.99890876 | results/phase4_array_tmp/phase4b_compare/metrics_table.csv |
| phase4_array_tmp | phase4b_compare | Parametric fitting | - | 0.21144308 | 0.09873880 | - | - | 0.47691071 | results/phase4_array_tmp/phase4b_compare/metrics_table.csv |
| phase4a | phase4b_compare | CNN | - | 0.00831970 | 0.00516012 | - | - | 0.99919015 | results/phase4a/phase4b_compare/metrics_table.csv |
| phase4a | phase4b_compare | CNN+SE | - | 0.00823831 | 0.00492080 | - | - | 0.99920595 | results/phase4a/phase4b_compare/metrics_table.csv |
| phase4a | phase4b_compare | Cross-correlation | - | 0.26090375 | 0.13715342 | - | - | 0.20356637 | results/phase4a/phase4b_compare/metrics_table.csv |
| phase4a | phase4b_compare | MLP | - | 0.00965751 | 0.00674152 | - | - | 0.99890876 | results/phase4a/phase4b_compare/metrics_table.csv |
| phase4a | phase4b_compare | Parametric fitting | - | 0.21144308 | 0.09873880 | - | - | 0.47691071 | results/phase4a/phase4b_compare/metrics_table.csv |
| phase4a_neighbor_shift_002 | cnn_only | CNN | - | 0.01061696 | 0.00802834 | 0.02145732 | 0.03310860 | 0.99864578 | results/phase4a_neighbor_shift_002/cnn_only/metrics_table.csv |
| phase4a_neighbor_shift_004 | cnn_only | CNN | - | 0.01330751 | 0.01031127 | 0.02531879 | 0.03731677 | 0.99787241 | results/phase4a_neighbor_shift_004/cnn_only/metrics_table.csv |
| phase4a_neighbor_shift_006 | cnn_only | CNN | - | 0.01423837 | 0.01086439 | 0.02646014 | 0.04098212 | 0.99756438 | results/phase4a_neighbor_shift_006/cnn_only/metrics_table.csv |
| phase4a_noise_005 | cnn_only | CNN | - | 0.00831970 | 0.00516012 | 0.02029120 | 0.03171836 | 0.99919015 | results/phase4a_noise_005/cnn_only/metrics_table.csv |
| phase4a_noise_008 | cnn_only | CNN | - | 0.00812027 | 0.00478043 | 0.01979799 | 0.03188249 | 0.99922854 | results/phase4a_noise_008/cnn_only/metrics_table.csv |
| phase4a_noise_010 | cnn_only | CNN | - | 0.00822219 | 0.00489802 | 0.01984495 | 0.03168470 | 0.99920905 | results/phase4a_noise_010/cnn_only/metrics_table.csv |
| phase4a_noise_012 | cnn_only | CNN | - | 0.00829671 | 0.00503387 | 0.02111644 | 0.03172294 | 0.99919462 | results/phase4a_noise_012/cnn_only/metrics_table.csv |
| phase4a_shift004_hfripple_l1 | cnn_only | CNN | - | 0.01248164 | 0.00984569 | 0.02454566 | 0.03444772 | 0.99810070 | results/phase4a_shift004_hfripple_l1/cnn_only/metrics_table.csv |
| phase4a_shift004_hfripple_l2 | cnn_only | CNN | - | 0.01289670 | 0.01023143 | 0.02610773 | 0.03431914 | 0.99797231 | results/phase4a_shift004_hfripple_l2/cnn_only/metrics_table.csv |
| phase4a_shift004_hfripple_l3 | cnn_only | CNN | - | 0.01242488 | 0.00975933 | 0.02439582 | 0.03535032 | 0.99811792 | results/phase4a_shift004_hfripple_l3/cnn_only/metrics_table.csv |
| phase4a_shift004_linewidth_l1 | cnn_only | CNN | - | 0.01296907 | 0.01007140 | 0.02455339 | 0.03696094 | 0.99797928 | results/phase4a_shift004_linewidth_l1/cnn_only/metrics_table.csv |
| phase4a_shift004_linewidth_l2 | cnn_only | CNN | - | 0.01312204 | 0.01012193 | 0.02537538 | 0.03699584 | 0.99793130 | results/phase4a_shift004_linewidth_l2/cnn_only/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | cnn_only | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/cnn_only/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine | C2F-Coarse | - | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine | CNN+C2FRefine | - | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2 | C2Fv2-Coarse(BaselineCNN) | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2 | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2 | CNN+C2FRefineV2 | - | 0.01366117 | 0.01054524 | 0.02702843 | 0.03919639 | 0.99775785 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2 | Old-C2F-Coarse | - | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2/metrics_table.csv |
