load_value,delta_lambda_pm
20.0,-0.1543280868345303
20.0,0.07694729005049342
20.0,0.5088292212265764
20.0,0.6168331825340447
22.0,10.047449186062702
22.0,10.404673124435984
22.0,10.643063244129342
22.0,10.738879291362537
24.0,18.72862942733133
24.0,18.877655424978204
24.0,19.10134393345459
24.0,19.4469410545305
26.0,30.53918361741615
26.0,30.699221350823233
26.0,30.97683759294058
26.0,31.16740525073606
28.0,37.38969173175568
28.0,37.62428854314442
28.0,37.9731308954761
28.0,38.28182643028689
30.0,50.73761609494468
30.0,51.03059562172822
30.0,51.32331283580317
30.0,51.530977389063224
32.0,57.38987199829364
32.0,57.682083870882785
32.0,57.85586072516319
32.0,58.175650736585034
34.0,69.82012162124862
34.0,70.28795834043854
34.0,70.41528405877722
34.0,70.78584807856113
36.0,76.99762500376703
36.0,77.51746143318498
36.0,77.80465580853799
36.0,77.89321652848109
38.0,88.60721696127543
38.0,88.75896504385985
38.0,88.94502534765334
38.0,89.50078058849184
40.0,97.73736345250802
40.0,98.16543934103782
40.0,98.35350931580463
40.0,98.57082459056323
